"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9100TYCROES","TYCROES","TYC","Ty Croes Rail Station","","U",234882,372360,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PWCK","PWCK","PTW","Prestwick Rail Station","","U",234920,626210,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PWCKAPT","PWCKAPT","PRA","Prestwick Intl Airport Rail Station","","U",235013,627024,"2004-08-26T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100TULLOCH","TULLOCH","TUL","Tulloch Rail Station","","U",235510,780240,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CORROUR","CORROUR","CRR","Corrour Rail Station","","U",235620,766410,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100STGRMNS","STGRMNS","SGM","St Germans Rail Station","","U",236020,57480,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100LCHWNCH","LCHWNCH","LHW","Lochwinnoch Rail Station","","U",236060,657970,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100FYSD","FYSD","FYS","Ferryside Rail Station","","U",236600,210400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PWLHELI","PWLHELI","PWL","Pwllheli Rail Station","","U",237500,335000,"2003-11-04T00:00:00","2007-02-13T17:06:21",4,"rev"
"9100CRNLRCH","CRNLRCH","CNR","Crianlarich Rail Station","","U",238460,725100,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100LGBK","LGBK","LGB","Langbank Rail Station","","U",238562,673180,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BODORGN","BODORGN","BOR","Bodorgan Rail Station","","U",238600,370200,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100RENTON","RENTON","RTN","Renton Rail Station","","U",238700,678290,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BALLOCH","BALLOCH","BHC","Balloch Rail Station","","U",239000,681900,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100DLREOCH","DLREOCH","DLR","Dalreoch Rail Station","","U",239120,675710,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ALXANDR","ALXANDR","ALX","Alexandria Rail Station","","U",239300,679900,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100HOWOOD","HOWOOD","HOZ","Howwood (Renfrewshire) Rail Station","","U",239480,660450,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100GARVE","GARVE","GVE","Garve Rail Station","","U",239500,861300,"2003-11-04T00:00:00","2007-02-13T17:06:21",2,"rev"
"9100DMBRTNC","DMBRTNC","DBC","Dumbarton Central Rail Station","","U",239800,675600,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100KIDWELY","KIDWELY","KWL","Kidwelly Rail Station","","U",240100,206500,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100ABRE","ABRE","ABH","Abererch Rail Station","","U",240400,336100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100DMBRTNE","DMBRTNE","DBE","Dumbarton East Rail Station","","U",240580,675080,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100KLMAURS","KLMAURS","KLM","Kilmaurs Rail Station","","U",240816,641088,"2003-11-04T00:00:00","2007-10-11T16:51:10",2,"rev"
